Iteration	Posterior	Likelihood	Prior	beta_categories[1]	beta_categories[2]	beta_categories[3]	beta_categories[4]	beta_scale	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	tree_length
360	-413.9052	-426.2075	12.30234	0.0722646	0.337032	0.662968	0.927735	0.6310402	0.0831635	0.0125415	0.032308	0.00210453	0.00329969	0.00249359	0.00198491	0.0215105	0.00480461	0.0493993	0.011289	0.00569351	0.0228277	0.072948	0.0372248	0.792095	0.141426	0.048459	0.0180201	0.0809708	0.293487	0.682178	1.46589	3.4073	12.3501	1.817554	0.228727	0.0344932	0.0888575	0.00578816	0.00907523	0.00685819	0.00545915	0.0591608	0.0132143	0.135864	0.0310485	0.015659	0.0627838	0.200631	0.10238	0.363593
396	-412.9665	-425.1632	12.19665	6.79416e-07	0.0765195	0.92348	0.999999	0.0615504	0.164804	0.034534	0.0588478	0.0146564	0.00189361	0.00802876	0.00624142	0.0999203	0.0168267	0.0588677	0.0550744	0.0310927	0.0163376	0.167943	0.0749998	0.371556	0.534401	0.0252911	0.0687513	0.140325	0.383757	0.741708	1.34824	2.60582	7.1263	1.419957	0.203445	0.042631	0.0726455	0.0180928	0.0023376	0.00991121	0.00770481	0.123348	0.020772	0.0726701	0.0679874	0.0383829	0.0201681	0.207319	0.0925846	0.810068
432	-415.8906	-428.0415	12.15099	6.66641e-06	0.0919711	0.908029	0.999993	0.07573238	0.0580695	0.0313157	0.0295022	0.00455296	0.00200548	0.00190405	0.000988637	0.0250062	0.0133828	0.0550151	0.000453822	0.0219894	0.0291944	0.0506376	0.0193533	0.30732	0.507994	0.0303231	0.154363	0.0905607	0.309954	0.693895	1.44114	3.22629	11.0423	1.73662	0.169116	0.0912006	0.0859193	0.0132596	0.00584056	0.00554518	0.00287921	0.0728256	0.0389747	0.160221	0.00132167	0.0640397	0.0850229	0.147472	0.0563625	0.3433712
468	-419.5102	-431.9495	12.43926	1.20697e-05	0.0970157	0.902984	0.999988	0.08051103	0.0463393	0.0229025	0.0634418	0.0177649	0.00773004	0.00189939	0.0263753	0.0605605	0.0136227	0.0513051	0.032906	0.0307508	0.0300232	0.218277	0.0348573	0.126927	0.469468	0.0375954	0.36601	0.122027	0.358478	0.726107	1.37721	2.78957	8.19489	1.520983	0.0703436	0.0347663	0.0963055	0.0269673	0.0117343	0.0028833	0.0400381	0.0919317	0.0206795	0.0778819	0.0499517	0.0466801	0.0455756	0.331347	0.0529138	0.6587557
504	-416.9684	-429.9558	12.9874	0.00205677	0.178579	0.821421	0.997943	0.1717989	0.0989381	0.0157485	0.0524733	0.0174276	0.000193385	0.00971878	0.00249839	0.209479	0.0866787	0.0043008	0.0422299	0.000734487	0.124236	0.245724	0.0461783	0.0746951	0.813175	0.081946	0.0301841	0.198907	0.454936	0.782144	1.27854	2.19811	5.02747	1.167697	0.103431	0.0164637	0.0548563	0.018219	0.000202167	0.0101601	0.00261185	0.218993	0.0906151	0.00449611	0.0441477	0.000767843	0.129878	0.256883	0.0482754	0.9565595
540	-416.4802	-429.2546	12.77435	9.44061e-05	0.119441	0.880559	0.999906	0.102735	0.066711	0.075427	0.0846031	0.0150142	0.00505236	0.00314754	0.00101166	0.165659	0.0717116	0.0172995	0.0491992	0.0353353	0.122753	0.148049	0.0621461	0.21197	0.383975	0.0372254	0.366829	0.197114	0.452931	0.781067	1.2803	2.20784	5.0732	1.174243	0.0722669	0.0817089	0.0916492	0.0162647	0.00547314	0.00340968	0.00109591	0.179455	0.077684	0.0187403	0.0532967	0.0382781	0.132977	0.160379	0.0673218	0.9231192
576	-411.5124	-424.2148	12.70237	2.28368e-05	0.103057	0.896943	0.999977	0.08633624	0.147512	0.0340925	0.0676395	0.00364836	0.00385643	0.00384383	0.00245955	0.0956731	0.00640532	0.0104941	0.0378086	0.0382219	0.0589762	0.0724957	0.0485259	0.728535	0.0788179	0.00356477	0.189082	0.159807	0.408876	0.756526	1.32183	2.44573	6.25755	1.325955	0.233533	0.0539735	0.107083	0.0057759	0.0061053	0.00608536	0.00389383	0.151465	0.0101406	0.0166138	0.0598566	0.0605109	0.0933681	0.114772	0.0768238	0.6316524
612	-414.1879	-427.332	13.14417	0.0201682	0.263758	0.736242	0.979832	0.3280051	0.242137	0.0157597	0.0557262	0.00220482	0.0094656	0.00717998	0.009977	0.22416	0.0573043	0.0153624	0.0242976	0.0760199	0.091123	0.136759	0.106179	0.69668	0.154787	0.00752123	0.141012	0.280423	0.537895	0.824105	1.21344	1.8591	3.56604	0.9193497	0.225526	0.0146785	0.0519033	0.00205357	0.00881624	0.00668741	0.00929255	0.208782	0.0533731	0.0143085	0.0226308	0.0708048	0.0848717	0.127377	0.0988947	1.073656
648	-416.5885	-428.9722	12.38371	0.0858916	0.34857	0.65143	0.914109	0.7162938	0.0747174	0.0278688	0.0254836	0.0316056	0.00298965	0.0122814	0.00432582	0.0728169	0.0044047	0.0109773	0.0712408	0.0297964	0.0806387	0.175737	0.0520923	0.83582	0.0215328	0.0580092	0.0846377	0.103401	0.330659	0.708036	1.41236	3.02426	9.67113	1.640748	0.110369	0.0411667	0.0376433	0.0466865	0.00441618	0.0181415	0.00638991	0.107562	0.00650644	0.0162152	0.105234	0.0440139	0.119116	0.259591	0.0769485	0.6769759
684	-418.2256	-430.7022	12.47656	0.0956558	0.35596	0.64404	0.904344	0.7810547	0.214453	0.13819	0.0335004	0.0298718	0.00116728	0.0189314	0.030346	0.17908	0.0456557	0.0627971	0.0371541	0.0254397	0.111629	0.273483	0.0877371	0.781464	0.128101	0.0403064	0.0501291	0.288441	0.545341	0.827648	1.20824	1.83371	3.46691	0.8989658	0.166316	0.107171	0.0259807	0.0231666	0.000905268	0.014682	0.0235343	0.138882	0.0354076	0.0487013	0.0288143	0.0197294	0.0865718	0.212095	0.0680431	1.289434
720	-415.2167	-427.8037	12.58699	0.0322217	0.288237	0.711763	0.967778	0.3999438	0.114826	0.0585992	0.109405	0.00414001	0.00128736	0.0129944	0.00473505	0.20452	0.0334171	0.00608912	0.123662	0.0895259	0.0692577	0.168872	0.0645789	0.670451	0.0127271	0.00464901	0.312173	0.137931	0.38055	0.739769	1.35177	2.62778	7.24998	1.432398	0.107726	0.0549758	0.10264	0.00388401	0.00120776	0.0121909	0.00444226	0.191874	0.0313507	0.0057126	0.116016	0.0839901	0.0649751	0.15843	0.0605856	1.065911
756	-430.3204	-442.3891	12.06866	0.0556218	0.320291	0.679709	0.944378	0.5330113	0.137639	0.0152395	0.00811613	0.100906	0.0401663	0.0593098	0.0676142	0.339871	0.108573	0.389403	0.00041457	0.0422398	0.129376	0.426744	0.138672	0.24079	0.669138	0.0527658	0.0373061	0.448962	0.676678	0.885283	1.12958	1.47781	2.22736	0.5790452	0.0686723	0.00760345	0.00404939	0.0503449	0.0200402	0.0295915	0.0337348	0.169572	0.0541706	0.194285	0.000206842	0.0210748	0.0645496	0.212916	0.0691878	2.004283
792	-422.1359	-435.335	13.19918	0.000955114	0.15956	0.84044	0.999045	0.1475057	0.127379	0.00815274	0.130923	0.0654908	0.0291846	0.0104007	0.00391279	0.076045	0.0412312	0.0462662	0.0457593	0.0222539	0.119547	0.107461	0.0956972	0.108539	0.60378	0.0951402	0.19254	0.276085	0.533821	0.822152	1.21632	1.87329	3.62207	0.9306228	0.13701	0.00876917	0.140823	0.0704425	0.0313913	0.0111871	0.00420864	0.0817948	0.0443487	0.0497644	0.0492191	0.0239365	0.128586	0.115586	0.102933	0.929705
828	-410.7659	-421.7316	10.96572	0.0455818	0.308156	0.691845	0.954418	0.4758482	0.0229622	0.0068344	0.00453734	0.00191836	0.000400829	0.000724673	0.000528726	0.016146	0.00620419	0.00521437	0.00439388	0.0028538	0.0106925	0.0280636	0.0106897	0.862969	0.063877	0.013067	0.060087	0.0237103	0.161233	0.5659	1.7671	6.20222	42.1758	2.705612	0.187961	0.0559442	0.0371411	0.0157031	0.00328106	0.00593193	0.00432798	0.132166	0.0507855	0.0426832	0.0359668	0.0233603	0.0875255	0.229719	0.0875027	0.1221647
864	-414.1387	-427.2359	13.09725	0.00526498	0.207647	0.792353	0.994735	0.2144504	0.0794308	0.0543995	0.00288443	0.0125834	0.00403988	0.0107312	0.00390497	0.0172822	0.0610039	0.0566766	0.0741712	0.044958	0.060845	0.139613	0.024285	0.852955	0.0206168	0.00348566	0.122943	0.159025	0.407899	0.755961	1.32282	2.45159	6.28831	1.329501	0.122804	0.0841045	0.00445947	0.0194546	0.00624585	0.016591	0.00603729	0.0267191	0.0943151	0.0876249	0.114673	0.0695073	0.0940695	0.215849	0.0375459	0.6468092
900	-420.0679	-432.3139	12.24598	0.151555	0.389336	0.610664	0.848445	1.240278	0.051377	0.0242509	0.0291424	0.00383149	0.00501019	0.0138365	0.00241225	0.0215895	0.0552485	0.116397	0.0342631	0.0404897	0.0503375	0.0971293	0.0641434	0.510994	0.176367	0.261019	0.0516199	0.169591	0.420899	0.763397	1.30993	2.37587	5.89655	1.28299	0.0842994	0.0397909	0.0478169	0.0062867	0.00822072	0.0227029	0.00395801	0.035424	0.0906517	0.190985	0.0562189	0.0664354	0.0825938	0.15937	0.105246	0.6094592
936	-410.8898	-423.0726	12.18282	4.05452e-07	0.0736991	0.926301	1	0.05903245	0.0895421	0.0247581	0.0214333	0.00487993	0.00150045	0.0111933	0.00389713	0.0670531	0.0312585	0.0833149	0.0108609	0.0165253	0.0560518	0.0100791	0.0393483	0.256147	0.707692	0.0251318	0.0110291	0.121097	0.357143	0.725262	1.37881	2.8	8.25782	1.526514	0.18983	0.0524874	0.0454388	0.0103455	0.00318097	0.02373	0.00826195	0.142153	0.0662682	0.176628	0.0230252	0.0350337	0.11883	0.0213678	0.0834187	0.4716961
