Iteration	Posterior	Likelihood	Prior	beta_categories[1]	beta_categories[2]	beta_categories[3]	beta_categories[4]	beta_scale	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	tree_length
0	-416.1272	-428.2912	12.16402	0.058164	0.323086	0.676914	0.941836	0.5476607	0.0309507	0.0224736	0.0274018	0.0154005	0.000585729	0.00604721	0.0040819	0.0224143	0.0346257	0.00446202	0.0143656	0.0702026	0.00697001	0.00229205	0.0336676	0.775752	0.0135761	0.0283337	0.182338	0.065355	0.264368	0.660298	1.51447	3.78261	15.3011	1.972475	0.104584	0.0759393	0.0925921	0.052039	0.00197921	0.0204338	0.0137929	0.0757392	0.117002	0.0150774	0.0485422	0.237218	0.023552	0.00774496	0.113764	0.2959413
36	-413.6347	-426.6672	13.03244	0.0141714	0.24709	0.75291	0.985829	0.2883904	0.0538443	0.0140554	0.0852995	0.0177233	0.00134491	0.00514285	0.0076012	0.070503	0.0636408	0.0784534	0.013434	0.083177	0.0272815	0.0379638	0.00761917	0.744975	0.144973	0.0212481	0.0888044	0.139415	0.382541	0.740974	1.34957	2.6141	7.17282	1.424661	0.0949494	0.0247854	0.150418	0.0312535	0.00237162	0.00906894	0.013404	0.124325	0.112225	0.138345	0.0236896	0.146675	0.0481084	0.0669456	0.0134357	0.5670843
72	-414.3735	-426.3391	11.96558	0.0258912	0.276467	0.723533	0.974109	0.362956	0.0212195	0.0077494	0.00945769	0.00413769	0.000513352	0.00438061	0.00290825	0.0151349	0.0127601	0.0324938	0.00455379	0.0329622	0.0107778	0.0242373	0.0150292	0.632341	0.18005	0.00114981	0.186459	0.052093	0.236685	0.6379	1.56764	4.22503	19.1964	2.136469	0.106999	0.0390761	0.0476901	0.0208642	0.00258856	0.0220891	0.0146648	0.0763174	0.0643423	0.163849	0.0229624	0.166211	0.0543466	0.122216	0.0757841	0.1983155
108	-423.2425	-435.7522	12.50962	0.124588	0.374759	0.625241	0.875412	0.9966255	0.124985	0.0371844	0.0322982	0.00769744	0.000642155	0.00271121	0.00897806	0.14502	0.0412154	0.00396706	0.0357489	0.0903291	0.0562607	0.0133383	0.0176032	0.812228	0.0903519	0.0764143	0.0210061	0.17709	0.429876	0.76844	1.30134	2.32625	5.64683	1.251701	0.202248	0.060171	0.0522642	0.0124558	0.00103912	0.00438722	0.0145281	0.234668	0.0666939	0.00641941	0.057848	0.146169	0.0910397	0.0215838	0.0284851	0.6179795
144	-418.0045	-431.0314	13.02695	0.00532508	0.208044	0.791956	0.994675	0.2150893	0.0506502	0.0427689	0.0378775	0.0104894	0.00179098	0.000624279	0.003038	0.0771805	0.0174009	0.0122732	0.0345932	0.159815	0.0855119	0.00336317	0.0276301	0.632017	0.293008	0.0226658	0.0523096	0.138671	0.381543	0.740371	1.35067	2.62094	7.21133	1.428534	0.0896452	0.0756963	0.067039	0.0185651	0.00316984	0.0011049	0.00537693	0.136601	0.0307976	0.0217222	0.0612261	0.282854	0.151347	0.00595245	0.0489023	0.5650068
180	-413.3044	-426.277	12.97253	0.025382	0.275428	0.724572	0.974618	0.3599192	0.0662038	0.075807	0.0933207	0.000683386	0.00302735	0.00569205	0.0185729	0.0432807	0.0547407	0.00180019	0.0547065	0.115734	0.0650054	0.0127822	0.0689919	0.819641	0.0551513	0.0203169	0.104891	0.144171	0.38885	0.744766	1.3427	2.57168	6.93621	1.400408	0.0973086	0.111424	0.137166	0.00100446	0.0044497	0.00836637	0.0272991	0.0636154	0.0804597	0.00264598	0.0804095	0.17011	0.0955472	0.0187876	0.101407	0.6803489
216	-413.1962	-426.23	13.03381	0.00216296	0.179962	0.820038	0.997837	0.1736635	0.170788	0.04165	0.118125	0.00646347	0.00612824	0.0093916	0.00976711	0.107202	0.0442297	0.00567151	0.0587978	0.148387	0.0997864	0.0209824	0.0576584	0.224149	0.554665	0.0110313	0.210155	0.197749	0.453642	0.781449	1.27967	2.20438	5.05692	1.17192	0.18871	0.0460207	0.13052	0.00714172	0.00677132	0.0103771	0.010792	0.118452	0.0488711	0.00626666	0.0649679	0.163959	0.110258	0.0231842	0.0637088	0.9050291
252	-412.4829	-424.5846	12.10177	0.0245472	0.27369	0.72631	0.975453	0.3549143	0.0233503	0.0165633	0.0420132	0.0022623	0.00138404	0.00213381	0.000117806	0.0343291	0.00770413	0.0201784	0.00199005	0.0555931	0.0248697	0.0244522	0.0110737	0.749236	0.0773218	0.0206838	0.152759	0.0498819	0.231731	0.633704	1.57802	4.31536	20.0474	2.167831	0.0871231	0.0617998	0.156757	0.00844093	0.00516404	0.00796155	0.000439551	0.128086	0.0287451	0.0752883	0.00742513	0.207425	0.0927921	0.0912343	0.0413175	0.268015
288	-418.2152	-430.7394	12.52414	0.000739516	0.153985	0.846015	0.99926	0.1408125	0.0858965	0.0224623	0.0537987	0.0080452	0.00188782	0.0072932	0.000782773	0.0574443	0.0104142	0.0412524	0.000356385	0.0827276	0.0181676	0.0630796	0.0316988	0.159383	0.418444	0.132088	0.290086	0.0800712	0.291892	0.681019	1.46839	3.42592	12.4889	1.825633	0.176994	0.0462846	0.110855	0.0165775	0.00388994	0.015028	0.00161294	0.118367	0.021459	0.0850027	0.00073435	0.170464	0.0374352	0.129979	0.0653169	0.4853073
324	-410.4415	-422.938	12.4965	5.66094e-05	0.113001	0.886999	0.999943	0.09617954	0.0775657	0.0100316	0.0316866	0.000192594	0.000479496	0.00440913	0.0157438	0.0470371	0.00878235	0.0250662	0.0536845	0.0205826	0.0884286	0.020547	0.0322844	0.34405	0.0879077	0.00690035	0.561142	0.104657	0.332613	0.709339	1.40976	3.0065	9.55498	1.632012	0.17769	0.0229807	0.0725889	0.000441201	0.00109845	0.0101006	0.0360664	0.107754	0.0201189	0.0574226	0.122982	0.0471515	0.202575	0.0470699	0.0739583	0.4365217
